InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
INV105463,TSHIRT277,Company T-Shirt,3,2022-12-24 01:37:59,40.76,C1007,Canada,122.28
INV105464,BAG166,Reusable Bag,2,2021-11-18 10:08:47,39.77,C2942,USA,79.54
INV105465,LAMP799,Desk Lamp,1,2021-01-03 22:45:19,14.16,C2803,United Kingdom,14.16
INV105466,BAG823,Reusable Bag,1,2020-04-11 09:33:27,25.47,C2514,United Kingdom,25.47
INV105467,BOOK348,Technical Book,1,2022-05-19 03:13:22,17.8,C1908,United Kingdom,17.8
INV105468,MUG125,Coffee Mug,1,2022-12-29 23:23:59,4.89,C1806,Australia,4.89
INV105469,NOTE790,Notebook A4,1,2020-10-14 04:59:30,42.63,C2660,Spain,42.63
INV105470,NOTE410,Notebook A4,4,2021-12-15 20:49:43,54.79,C2064,United Kingdom,219.16
INV105471,TSHIRT992,Company T-Shirt,3,2022-07-26 00:08:10,25.85,C2831,Spain,77.55000000000001
INV105472,BAG137,Reusable Bag,1,2020-05-30 03:12:50,22.82,C2470,Germany,22.82
INV105473,PHONEC108,Phone Charger,2,2021-03-10 08:54:08,23.95,C2394,United Kingdom,47.9
INV105474,HEADPH558,Headphones,2,2021-02-19 22:00:54,17.24,C1886,Spain,34.48
INV105475,MUG698,Coffee Mug,3,2020-07-12 20:18:18,41.97,C1594,Canada,125.91
INV105476,TSHIRT720,Company T-Shirt,1,2020-10-13 15:22:17,3.68,C2529,Germany,3.68
INV105477,USB875,Usb Flash Drive,2,2023-08-19 01:02:52,3.61,C1835,United Kingdom,7.22
INV105478,HEADPH806,Headphones,2,2022-05-24 17:26:15,45.79,C1830,United Kingdom,91.58
INV105479,HEADPH990,Headphones,1,2022-09-07 14:29:43,37.7,C2042,United Kingdom,37.7
INV105480,PHONEC518,Phone Charger,1,2023-01-16 07:53:29,16.35,C2347,United Kingdom,16.35
INV105481,PHONEC125,Phone Charger,1,2022-12-13 13:01:02,13.26,C1885,United Kingdom,13.26
INV105482,BOOK570,Technical Book,2,2023-08-03 05:52:43,19.74,C2340,United Kingdom,39.48
INV105483,LAMP535,Desk Lamp,3,2020-11-21 06:42:07,22.06,C1352,Spain,66.17999999999999
INV105484,PHONEC111,Phone Charger,1,2023-11-16 18:44:46,33.06,C1909,United Kingdom,33.06
INV105485,BAG506,Reusable Bag,4,2022-07-05 23:25:55,18.29,C2408,Germany,73.16
INV105486,USB663,Usb Flash Drive,1,2020-12-12 06:49:04,19.21,C1809,United Kingdom,19.21
INV105487,PHONEC574,Phone Charger,1,2023-06-01 00:01:28,20.12,C2233,United Kingdom,20.12
INV105488,BAG648,Reusable Bag,2,2021-10-13 20:35:34,34.47,C2195,Canada,68.94
INV105489,USB591,Usb Flash Drive,4,2023-06-28 17:21:11,32.18,C1662,Spain,128.72
INV105490,USB489,Usb Flash Drive,2,2023-05-20 18:03:32,17.37,C1888,United Kingdom,34.74
INV105491,BAG859,Reusable Bag,1,2023-02-14 13:26:52,9.15,C2124,Spain,9.15
INV105492,PEN227,"Pen, Blue Ink",1,2020-05-28 10:35:29,46.83,C1649,France,46.83
INV105493,BOOK664,Technical Book,3,2021-11-06 17:34:47,16.89,C1223,United Kingdom,50.67
INV105494,NOTE983,Notebook A4,1,2020-10-11 21:29:22,18.4,C2170,Spain,18.4
INV105495,USB645,Usb Flash Drive,2,2020-07-09 19:27:22,42.71,C1811,USA,85.42
INV105496,NOTE538,Notebook A4,2,2021-09-23 19:08:09,26.4,C2327,USA,52.8
INV105497,USB835,Usb Flash Drive,2,2020-03-30 00:09:31,21.48,C2787,Spain,42.96
INV105498,TSHIRT285,Company T-Shirt,1,2023-05-02 23:15:02,14.94,C1536,USA,14.94
INV105499,PHONEC754,Phone Charger,4,2022-10-03 12:43:40,5.69,C1915,United Kingdom,22.76
INV105500,BAG892,Reusable Bag,4,2023-08-08 00:36:23,26.15,C1101,Spain,104.6
INV105501,PEN848,"Pen, Blue Ink",3,2020-09-09 03:42:06,32.52,C1401,Canada,97.56
INV105502,PEN619,"Pen, Blue Ink",1,2020-05-10 23:26:17,7.92,C1696,United Kingdom,7.92
INV105503,PEN275,"Pen, Blue Ink",2,2022-10-07 10:01:15,29.11,C2281,Netherlands,58.22
INV105504,PEN715,"Pen, Blue Ink",1,2022-04-02 23:24:56,18.96,C2984,United Kingdom,18.96
INV105505,MUG517,Coffee Mug,3,2021-04-10 06:52:56,50.7,C1371,United Kingdom,152.10000000000002
INV105506,NOTE116,Notebook A4,3,2023-07-22 20:25:04,13.7,C2681,Australia,41.099999999999994
INV105507,PEN754,"Pen, Blue Ink",2,2020-01-28 18:08:56,9.21,C2815,Australia,18.42
INV105508,MUG494,Coffee Mug,1,2021-06-19 06:17:24,35.98,C2925,United Kingdom,35.98
INV105509,MUG562,Coffee Mug,3,2021-06-15 20:54:23,15.66,C1867,United Kingdom,46.980000000000004
INV105510,TSHIRT606,Company T-Shirt,1,2020-02-20 11:53:32,55.83,C1961,Spain,55.83
INV105511,NOTE412,Notebook A4,2,2023-08-07 10:05:18,33.18,C2413,United Kingdom,66.36
INV105512,LAMP794,Desk Lamp,3,2022-01-22 14:51:18,5.19,C2358,United Kingdom,15.57
INV105513,TSHIRT655,Company T-Shirt,2,2020-04-11 13:51:03,26.07,C2015,Canada,52.14
INV105514,BAG411,Reusable Bag,1,2022-01-11 23:31:04,16.69,C2615,Netherlands,16.69
INV105515,BAG841,Reusable Bag,2,2021-06-04 12:01:33,16.66,C1763,Belgium,33.32
INV105516,BOOK778,Technical Book,1,2023-01-29 19:31:54,12.31,C1779,Spain,12.31
INV105517,PHONEC618,Phone Charger,2,2021-02-10 09:44:43,11.89,C1724,Germany,23.78
INV105518,PHONEC770,Phone Charger,1,2021-04-13 12:51:31,24.88,C1607,United Kingdom,24.88
INV105519,MUG321,Coffee Mug,2,2022-05-02 18:00:18,16.1,C1878,United Kingdom,32.2
INV105520,TSHIRT346,Company T-Shirt,2,2022-11-26 11:24:10,6.68,C1802,Germany,13.36
INV105521,HEADPH637,Headphones,2,2022-08-26 13:17:10,27.23,C2762,United Kingdom,54.46
INV105522,PHONEC349,Phone Charger,1,2023-06-01 10:35:06,38.55,C2892,USA,38.55
INV105523,BOOK323,Technical Book,1,2023-06-03 20:25:12,5.0,C2810,Netherlands,5.0
INV105524,TSHIRT992,Company T-Shirt,3,2021-09-07 08:52:42,31.67,C2328,Spain,95.01
INV105525,LAMP987,Desk Lamp,2,2023-11-15 12:16:39,22.39,C1881,Netherlands,44.78
INV105526,PEN918,"Pen, Blue Ink",3,2021-09-17 11:37:08,26.93,C1729,United Kingdom,80.78999999999999
INV105527,PEN644,"Pen, Blue Ink",2,2023-05-05 06:22:00,39.19,C2476,USA,78.38
INV105528,MUG568,Coffee Mug,1,2020-01-17 01:51:42,17.84,C1949,Germany,17.84
INV105529,LAMP146,Desk Lamp,1,2021-02-05 20:38:56,32.54,C1352,Spain,32.54
INV105530,BAG964,Reusable Bag,2,2022-09-30 05:09:56,16.13,C1915,United Kingdom,32.26
INV105531,TSHIRT782,Company T-Shirt,3,2023-07-24 12:34:26,38.93,C1644,United Kingdom,116.78999999999999
INV105532,PEN129,"Pen, Blue Ink",1,2021-05-09 20:28:12,15.07,C2404,Netherlands,15.07
INV105533,USB212,Usb Flash Drive,2,2023-02-19 12:47:07,26.81,C1282,United Kingdom,53.62
INV105534,MUG104,Coffee Mug,3,2023-11-12 23:09:25,2.16,C2385,United Kingdom,6.48
INV105535,PEN675,"Pen, Blue Ink",2,2023-09-09 06:44:07,1.43,C1703,United Kingdom,2.86
INV105536,USB242,Usb Flash Drive,4,2021-04-09 02:21:24,20.89,C1429,United Kingdom,83.56
INV105537,TSHIRT944,Company T-Shirt,2,2023-11-01 08:27:59,25.46,C2221,United Kingdom,50.92
INV105538,LAMP180,Desk Lamp,4,2021-11-08 06:50:53,16.18,C2006,Netherlands,64.72
INV105539,NOTE344,Notebook A4,1,2020-08-16 05:10:43,36.98,C2484,United Kingdom,36.98
INV105540,PEN510,"Pen, Blue Ink",2,2021-07-16 06:04:31,49.94,C2179,Germany,99.88
INV105541,HEADPH664,Headphones,1,2021-06-25 05:25:28,20.19,C2812,United Kingdom,20.19
INV105542,BOOK213,Technical Book,2,2021-01-10 12:31:21,8.72,C2383,United Kingdom,17.44
INV105543,USB641,Usb Flash Drive,1,2022-10-12 08:08:07,36.81,C2072,United Kingdom,36.81
INV105544,USB450,Usb Flash Drive,2,2021-12-14 10:39:05,11.06,C2464,Australia,22.12
INV105545,BOOK943,Technical Book,3,2020-03-24 21:58:38,18.62,C1531,Australia,55.86
INV105546,LAMP196,Desk Lamp,3,2021-04-20 11:48:10,44.74,C1165,USA,134.22
INV105547,TSHIRT420,Company T-Shirt,1,2021-12-05 13:00:55,22.27,C2363,Spain,22.27
INV105548,HEADPH883,Headphones,2,2023-12-01 01:08:16,65.17,C1450,USA,130.34
INV105549,MUG525,Coffee Mug,2,2023-01-18 03:55:10,5.98,C1970,Netherlands,11.96
INV105550,HEADPH197,Headphones,4,2021-05-27 14:01:38,15.78,C1506,Canada,63.12
INV105551,NOTE950,Notebook A4,1,2023-09-29 11:33:30,13.32,C1287,Germany,13.32
INV105552,BOOK363,Technical Book,3,2020-12-07 15:29:18,27.41,C2972,United Kingdom,82.23
INV105553,BOOK363,Technical Book,2,2020-02-28 18:42:11,20.81,C1355,Spain,41.62
INV105554,HEADPH114,Headphones,3,2022-03-14 05:49:03,43.39,C2046,United Kingdom,130.17000000000002
INV105555,PEN339,"Pen, Blue Ink",1,2022-05-18 20:47:24,31.81,C2910,United Kingdom,31.81
INV105556,BOOK909,Technical Book,2,2021-05-07 00:44:04,9.74,C2704,United Kingdom,19.48
INV105557,LAMP175,Desk Lamp,2,2023-05-09 12:14:03,15.39,C2890,United Kingdom,30.78
INV105558,PEN133,"Pen, Blue Ink",2,2021-09-28 12:13:06,17.5,C2011,Australia,35.0
INV105559,LAMP246,Desk Lamp,1,2023-04-23 19:39:19,33.36,C2476,USA,33.36
INV105560,BOOK792,Technical Book,1,2022-06-21 08:17:07,35.32,C1256,Australia,35.32
INV105561,MUG900,Coffee Mug,1,2021-03-16 10:12:32,14.64,C2940,United Kingdom,14.64
INV105562,PHONEC139,Phone Charger,1,2023-02-12 19:19:05,28.8,C2588,United Kingdom,28.8
INV105563,NOTE765,Notebook A4,1,2023-09-08 10:37:20,30.05,C1704,United Kingdom,30.05
INV105564,USB510,Usb Flash Drive,1,2023-05-29 08:49:17,28.19,C1297,United Kingdom,28.19
INV105565,MUG904,Coffee Mug,6,2023-02-06 06:23:49,3.42,C1094,USA,20.52
INV105566,BAG582,Reusable Bag,2,2021-06-06 04:49:28,9.59,C1219,USA,19.18
INV105567,HEADPH289,Headphones,2,2022-02-14 16:59:12,24.79,C1759,USA,49.58
INV105568,NOTE704,Notebook A4,2,2021-11-09 10:39:38,25.35,C1130,United Kingdom,50.7
INV105569,TSHIRT633,Company T-Shirt,2,2021-02-01 03:05:51,6.15,C1584,Spain,12.3
INV105570,TSHIRT729,Company T-Shirt,2,2021-05-24 15:52:11,1.63,C1415,United Kingdom,3.26
INV105571,NOTE976,Notebook A4,6,2020-03-19 23:46:52,11.03,C2874,Belgium,66.17999999999999
INV105572,HEADPH794,Headphones,3,2022-09-17 04:19:18,1.78,C2198,Belgium,5.34
INV105573,PEN799,"Pen, Blue Ink",1,2022-04-15 05:21:17,4.18,C1656,United Kingdom,4.18
INV105574,HEADPH499,Headphones,5,2023-05-23 04:36:21,13.76,C2942,USA,68.8
INV105575,USB318,Usb Flash Drive,1,2020-05-11 16:27:13,18.48,C2965,Germany,18.48
INV105576,NOTE801,Notebook A4,3,2022-05-25 05:08:34,12.28,C2042,United Kingdom,36.839999999999996
INV105577,PEN334,"Pen, Blue Ink",3,2022-10-28 17:48:36,33.71,C2522,United Kingdom,101.13
INV105578,MUG663,Coffee Mug,4,2020-07-19 21:36:57,5.69,C1318,United Kingdom,22.76
INV105579,NOTE323,Notebook A4,1,2021-10-21 16:06:59,8.76,C2161,United Kingdom,8.76
INV105580,HEADPH467,Headphones,2,2020-08-21 00:58:46,27.47,C1891,Canada,54.94
INV105581,HEADPH552,Headphones,3,2022-09-25 00:02:08,18.91,C2052,Australia,56.730000000000004
INV105582,LAMP482,Desk Lamp,1,2023-06-21 02:56:53,3.03,C1709,Netherlands,3.03
INV105583,TSHIRT152,Company T-Shirt,1,2021-07-15 11:34:14,7.6,C1115,Canada,7.6
INV105584,PEN486,"Pen, Blue Ink",1,2020-09-25 23:31:38,18.93,C1363,Germany,18.93
INV105585,BAG668,Reusable Bag,1,2023-02-21 17:59:57,11.12,C2066,United Kingdom,11.12
INV105586,BAG454,Reusable Bag,2,2021-09-26 23:13:37,34.23,C2816,United Kingdom,68.46
INV105587,LAMP509,Desk Lamp,1,2021-10-09 18:18:49,21.4,C1348,United Kingdom,21.4
INV105588,PEN897,"Pen, Blue Ink",2,2021-05-01 23:36:49,14.88,C1812,United Kingdom,29.76
INV105589,LAMP517,Desk Lamp,3,2021-02-25 09:56:41,11.74,C1017,France,35.22
INV105590,USB170,Usb Flash Drive,2,2021-09-01 22:46:16,40.63,C1940,United Kingdom,81.26
INV105591,MUG654,Coffee Mug,1,2021-05-06 15:26:09,18.76,C2481,United Kingdom,18.76
INV105592,NOTE780,Notebook A4,1,2021-05-13 20:00:18,9.42,C1091,Belgium,9.42
INV105593,NOTE202,Notebook A4,2,2020-04-09 11:25:00,14.85,C1353,United Kingdom,29.7
INV105594,BOOK658,Technical Book,3,2020-05-03 03:39:39,14.48,C1575,Australia,43.44
INV105595,PEN648,"Pen, Blue Ink",2,2020-07-20 08:33:24,21.29,C1304,Belgium,42.58
INV105596,USB132,Usb Flash Drive,1,2021-04-28 06:19:41,17.94,C1346,Spain,17.94
INV105597,BAG870,Reusable Bag,3,2023-11-04 02:47:45,12.38,C2515,United Kingdom,37.14
INV105598,NOTE327,Notebook A4,5,2023-07-28 14:58:00,34.22,C2071,United Kingdom,171.1
INV105599,BAG792,Reusable Bag,2,2023-01-05 20:35:00,25.0,C1018,United Kingdom,50.0
INV105600,HEADPH714,Headphones,3,2021-05-17 13:50:56,18.47,C1176,Netherlands,55.41
INV105601,PHONEC763,Phone Charger,1,2023-04-28 11:09:01,30.38,C2534,United Kingdom,30.38
INV105602,MUG123,Coffee Mug,1,2020-04-04 01:33:22,25.77,C1987,United Kingdom,25.77
INV105603,TSHIRT899,Company T-Shirt,1,2023-12-02 03:37:50,29.4,C1165,USA,29.4
INV105604,PEN544,"Pen, Blue Ink",1,2022-07-24 04:09:20,29.0,C1970,Netherlands,29.0
INV105605,USB787,Usb Flash Drive,1,2020-02-26 23:49:08,28.87,C2148,Canada,28.87
INV105606,USB321,Usb Flash Drive,2,2020-08-01 06:33:52,20.63,C2242,USA,41.26
INV105607,USB899,Usb Flash Drive,3,2020-06-14 04:00:34,29.99,C2083,Canada,89.97
INV105608,LAMP411,Desk Lamp,1,2021-06-26 23:23:44,20.9,C1164,United Kingdom,20.9
INV105609,USB583,Usb Flash Drive,2,2022-05-10 22:02:45,38.72,C2914,United Kingdom,77.44
INV105610,USB942,Usb Flash Drive,1,2021-11-24 14:10:50,31.99,C1809,United Kingdom,31.99
INV105611,HEADPH180,Headphones,5,2022-05-26 18:09:01,3.97,C1381,Netherlands,19.85
INV105612,NOTE612,Notebook A4,1,2023-11-10 18:14:30,18.85,C1913,United Kingdom,18.85
INV105613,BOOK462,Technical Book,1,2021-05-07 21:17:11,5.33,C1289,Germany,5.33
INV105614,BOOK656,Technical Book,2,2022-02-20 16:02:32,3.16,C1275,France,6.32
INV105615,USB312,Usb Flash Drive,1,2022-01-14 18:00:04,16.28,C1051,USA,16.28
INV105616,PHONEC865,Phone Charger,1,2022-12-10 17:23:49,39.69,C1400,United Kingdom,39.69
INV105617,MUG803,Coffee Mug,1,2020-10-13 07:54:57,28.5,C1095,France,28.5
INV105618,TSHIRT170,Company T-Shirt,2,2023-09-28 13:51:49,54.27,C2469,USA,108.54
INV105619,BOOK606,Technical Book,2,2022-02-19 06:24:16,21.25,C2612,Germany,42.5
INV105620,BAG796,Reusable Bag,1,2020-01-02 10:48:29,28.66,C2489,United Kingdom,28.66
INV105621,HEADPH800,Headphones,1,2022-05-02 03:31:22,26.32,C2649,Netherlands,26.32
INV105622,NOTE402,Notebook A4,1,2022-02-06 06:45:22,27.35,C2282,Germany,27.35
INV105623,LAMP854,Desk Lamp,2,2022-03-23 19:21:52,10.51,C1230,USA,21.02
INV105624,BOOK127,Technical Book,1,2021-06-20 17:26:49,29.99,C2816,United Kingdom,29.99
INV105625,USB678,Usb Flash Drive,1,2022-02-11 19:36:41,10.47,C1795,Canada,10.47
INV105626,HEADPH486,Headphones,3,2020-02-14 07:52:50,16.65,C2045,Spain,49.949999999999996
INV105627,BAG384,Reusable Bag,1,2020-01-07 01:01:50,49.99,C2596,United Kingdom,49.99
INV105628,LAMP511,Desk Lamp,2,2023-08-05 08:17:43,10.92,C1996,Canada,21.84
INV105629,NOTE285,Notebook A4,1,2021-12-06 20:59:43,17.35,C2413,United Kingdom,17.35
INV105630,LAMP271,Desk Lamp,4,2020-08-20 23:26:30,45.11,C1296,USA,180.44
INV105631,BOOK328,Technical Book,3,2021-11-06 21:47:01,27.25,C1118,Canada,81.75
INV105632,TSHIRT860,Company T-Shirt,2,2020-04-12 13:43:49,30.58,C1089,France,61.16
INV105633,LAMP656,Desk Lamp,5,2020-07-11 02:59:02,13.71,C1297,United Kingdom,68.55000000000001
INV105634,PHONEC591,Phone Charger,4,2020-11-17 10:13:20,22.22,C1262,United Kingdom,88.88
INV105635,PEN216,"Pen, Blue Ink",3,2020-06-28 19:31:56,5.18,C1394,United Kingdom,15.54
INV105636,BOOK968,Technical Book,2,2023-08-28 01:56:42,35.96,C2194,United Kingdom,71.92
INV105637,HEADPH846,Headphones,2,2022-12-12 22:18:43,31.17,C1685,Germany,62.34
INV105638,PHONEC952,Phone Charger,2,2023-09-05 09:10:35,20.76,C2489,United Kingdom,41.52
INV105639,TSHIRT559,Company T-Shirt,4,2023-04-06 22:21:57,12.67,C2831,Spain,50.68
INV105640,USB209,Usb Flash Drive,1,2020-11-26 04:54:31,25.67,C1116,USA,25.67
INV105641,TSHIRT909,Company T-Shirt,1,2023-01-23 14:53:57,31.42,C1226,Australia,31.42
INV105642,USB666,Usb Flash Drive,6,2022-11-24 03:27:21,14.1,C1855,United Kingdom,84.6
INV105643,NOTE178,Notebook A4,1,2020-01-20 15:45:10,32.02,C2357,United Kingdom,32.02
INV105644,USB196,Usb Flash Drive,1,2022-04-12 08:51:23,39.63,C2294,USA,39.63
INV105645,NOTE572,Notebook A4,1,2020-12-10 21:42:48,15.76,C1409,United Kingdom,15.76
INV105646,USB862,Usb Flash Drive,1,2022-07-07 06:28:51,3.32,C1750,United Kingdom,3.32
INV105647,NOTE412,Notebook A4,2,2022-05-07 21:43:28,30.96,C1848,France,61.92
INV105648,HEADPH172,Headphones,4,2023-02-22 18:27:48,30.17,C1446,Australia,120.68
INV105649,BAG763,Reusable Bag,1,2022-12-12 21:28:49,50.98,C2718,Australia,50.98
INV105650,PEN270,"Pen, Blue Ink",1,2022-03-13 19:18:40,16.94,C2198,Belgium,16.94
INV105651,BAG611,Reusable Bag,1,2023-08-09 00:28:19,10.57,C1233,France,10.57
INV105652,USB217,Usb Flash Drive,3,2021-01-21 06:15:10,10.44,C2011,Australia,31.32
INV105653,BAG921,Reusable Bag,3,2022-05-13 04:23:18,29.36,C2643,Spain,88.08
INV105654,HEADPH437,Headphones,2,2023-06-11 19:10:59,3.43,C1157,USA,6.86
INV105655,PEN954,"Pen, Blue Ink",3,2021-09-27 21:55:12,27.78,C1075,Belgium,83.34
INV105656,MUG867,Coffee Mug,4,2023-05-16 13:00:26,15.6,C1975,United Kingdom,62.4
INV105657,USB449,Usb Flash Drive,2,2022-10-28 08:11:19,51.44,C2056,USA,102.88
INV105658,BAG700,Reusable Bag,1,2023-10-24 21:45:41,9.12,C2850,United Kingdom,9.12
INV105659,NOTE971,Notebook A4,5,2020-11-09 17:32:34,26.09,C2701,United Kingdom,130.45
INV105660,BAG257,Reusable Bag,3,2023-05-21 23:00:52,9.78,C2500,France,29.339999999999996
INV105661,USB928,Usb Flash Drive,2,2020-08-04 15:56:42,13.44,C1659,Germany,26.88
INV105662,LAMP430,Desk Lamp,2,2023-12-05 06:42:30,22.76,C2707,United Kingdom,45.52
INV105663,NOTE952,Notebook A4,1,2023-07-12 09:15:00,4.42,C2798,United Kingdom,4.42
INV105664,MUG823,Coffee Mug,1,2020-08-05 06:38:00,41.19,C1862,France,41.19
INV105665,PEN504,"Pen, Blue Ink",2,2020-09-05 19:44:01,22.32,C2661,France,44.64
INV105666,TSHIRT200,Company T-Shirt,4,2022-01-03 09:24:03,9.7,C2225,Spain,38.8
INV105667,PHONEC339,Phone Charger,3,2021-05-30 11:35:25,12.48,C2481,United Kingdom,37.44
INV105668,BAG348,Reusable Bag,-2,2020-04-17 21:57:30,28.6,C1797,Germany,-57.2
INV105669,HEADPH633,Headphones,1,2023-05-09 14:33:41,23.24,C2580,United Kingdom,23.24
INV105670,LAMP701,Desk Lamp,1,2020-04-04 23:41:17,2.3,C1691,United Kingdom,2.3
INV105671,TSHIRT651,Company T-Shirt,3,2022-01-12 21:05:29,3.14,C2354,France,9.42
INV105672,TSHIRT867,Company T-Shirt,3,2020-03-06 20:28:35,35.03,C2289,United Kingdom,105.09
INV105673,MUG571,Coffee Mug,1,2023-12-09 03:55:04,13.0,C2774,USA,13.0
INV105674,BAG878,Reusable Bag,2,2021-11-04 23:41:48,16.56,C2590,Netherlands,33.12
INV105675,BOOK168,Technical Book,3,2022-11-06 02:20:37,2.09,C1857,France,6.27
INV105676,LAMP539,Desk Lamp,2,2022-08-21 06:59:40,4.99,C1441,Australia,9.98
INV105677,MUG772,Coffee Mug,1,2020-09-04 17:26:00,11.63,C1979,Germany,11.63
INV105678,PEN412,"Pen, Blue Ink",2,2023-12-17 06:33:46,44.66,C1601,United Kingdom,89.32
INV105679,MUG804,Coffee Mug,2,2021-07-07 03:25:28,13.42,C1351,Canada,26.84
INV105680,BAG789,Reusable Bag,3,2020-05-05 14:59:34,19.65,C2801,Belgium,58.949999999999996
INV105681,BAG415,Reusable Bag,3,2022-06-07 11:23:02,25.21,C1378,USA,75.63
INV105682,PHONEC909,Phone Charger,4,2020-07-23 23:37:21,7.97,C1192,Canada,31.88
INV105683,MUG993,Coffee Mug,1,2021-08-30 20:07:29,17.54,C1549,USA,17.54
INV105684,PEN350,"Pen, Blue Ink",3,2020-11-18 10:10:36,8.1,C1318,United Kingdom,24.299999999999997
INV105685,USB415,Usb Flash Drive,3,2020-01-15 21:52:44,8.37,C2544,Australia,25.11
INV105686,NOTE536,Notebook A4,1,2020-08-29 18:44:29,19.56,C1718,United Kingdom,19.56
INV105687,BOOK727,Technical Book,1,2021-07-15 00:17:37,15.37,C1688,USA,15.37
INV105688,NOTE459,Notebook A4,1,2021-09-24 18:01:19,25.07,C1583,United Kingdom,25.07
INV105689,LAMP297,Desk Lamp,5,2023-12-18 02:21:53,35.22,C2104,Australia,176.1
INV105690,TSHIRT407,Company T-Shirt,5,2023-07-27 04:53:14,1.12,C1655,United Kingdom,5.6000000000000005
INV105691,LAMP944,Desk Lamp,1,2020-04-24 18:30:59,16.64,C1191,Canada,16.64
INV105692,NOTE127,Notebook A4,2,2023-09-28 02:34:13,7.1,C2761,USA,14.2
INV105693,BOOK373,Technical Book,2,2021-10-16 22:26:46,14.6,C1651,Germany,29.2
INV105694,LAMP749,Desk Lamp,2,2020-12-25 01:16:58,12.67,C2183,Australia,25.34
INV105695,HEADPH543,Headphones,2,2022-02-21 13:53:37,14.22,C1495,United Kingdom,28.44
INV105696,BOOK893,Technical Book,5,2023-05-13 06:18:30,30.58,C2918,United Kingdom,152.89999999999998
INV105697,BAG492,Reusable Bag,4,2021-04-19 19:33:39,24.26,C1710,USA,97.04
INV105698,NOTE942,Notebook A4,2,2020-05-13 22:45:34,19.42,C1512,Australia,38.84
INV105699,BAG955,Reusable Bag,3,2023-05-31 00:35:28,28.65,C2545,France,85.94999999999999
INV105700,TSHIRT769,Company T-Shirt,1,2020-09-16 10:12:38,36.2,C1472,United Kingdom,36.2
INV105701,TSHIRT534,Company T-Shirt,2,2020-01-05 13:46:56,24.99,C1304,Belgium,49.98
INV105702,BAG295,Reusable Bag,4,2021-07-07 14:55:54,39.88,C2049,United Kingdom,159.52
INV105703,PHONEC335,Phone Charger,1,2023-01-08 22:00:34,21.13,C1614,Canada,21.13
INV105704,BAG204,Reusable Bag,1,2022-08-25 13:30:18,39.42,C1527,United Kingdom,39.42
INV105705,PHONEC726,Phone Charger,1,2022-02-19 15:52:50,1.43,C2510,USA,1.43
INV105706,PHONEC931,Phone Charger,2,2022-06-09 13:10:44,27.45,C1076,USA,54.9
INV105707,BAG492,Reusable Bag,4,2023-02-25 06:25:46,11.19,C1582,France,44.76
INV105708,MUG451,Coffee Mug,2,2023-02-09 12:00:23,24.33,C2934,Netherlands,48.66
INV105709,BAG691,Reusable Bag,2,2021-11-27 00:47:25,6.16,C1550,France,12.32
INV105710,PHONEC926,Phone Charger,1,2023-07-21 19:02:38,45.44,C1334,United Kingdom,45.44
INV105711,LAMP963,Desk Lamp,2,2021-07-11 17:27:42,18.03,C1764,United Kingdom,36.06
INV105712,BAG926,Reusable Bag,2,2023-03-11 15:32:37,38.0,C1016,United Kingdom,76.0
INV105713,BOOK314,Technical Book,3,2021-08-03 11:53:48,8.59,C2789,France,25.77
INV105714,HEADPH145,Headphones,4,2022-04-09 11:56:49,16.19,C1196,Belgium,64.76
INV105715,PHONEC104,Phone Charger,1,2022-12-07 07:19:59,41.94,C1255,Germany,41.94
INV105716,LAMP239,Desk Lamp,1,2021-11-27 09:58:29,5.09,C2212,United Kingdom,5.09
INV105717,HEADPH391,Headphones,2,2021-03-10 10:00:14,43.12,C2944,USA,86.24
INV105718,BOOK628,Technical Book,1,2023-09-27 13:44:12,49.22,C2250,USA,49.22
INV105719,HEADPH725,Headphones,4,2023-04-21 19:37:13,3.49,C1880,United Kingdom,13.96
INV105720,PEN568,"Pen, Blue Ink",2,2022-04-16 03:52:38,24.87,C1935,United Kingdom,49.74
INV105721,PEN152,"Pen, Blue Ink",2,2022-06-06 21:16:17,26.6,C2751,United Kingdom,53.2
INV105722,LAMP182,Desk Lamp,3,2022-06-20 02:59:12,10.51,C1534,USA,31.53
INV105723,BAG915,Reusable Bag,1,2022-12-08 09:29:31,28.21,C2553,Canada,28.21
INV105724,HEADPH501,Headphones,4,2020-07-29 12:15:34,30.48,C2466,Australia,121.92
INV105725,BOOK100,Technical Book,1,2022-06-04 11:51:42,8.89,C1734,United Kingdom,8.89
INV105726,PHONEC120,Phone Charger,1,2022-10-31 15:22:41,32.78,C1156,Netherlands,32.78
INV105727,HEADPH367,Headphones,4,2023-09-18 10:39:02,18.75,C1787,United Kingdom,75.0
INV105728,MUG810,Coffee Mug,1,2021-02-22 10:20:35,4.82,C2481,United Kingdom,4.82
INV105729,USB545,Usb Flash Drive,2,2023-06-04 23:17:21,24.9,C2977,United Kingdom,49.8
INV105730,PEN877,"Pen, Blue Ink",1,2021-07-23 11:48:14,58.7,C1671,Canada,58.7
INV105731,USB977,Usb Flash Drive,1,2022-04-17 14:52:26,38.86,C2322,Canada,38.86
INV105732,BAG418,Reusable Bag,2,2022-09-19 12:29:38,27.61,C2619,Belgium,55.22
INV105733,TSHIRT545,Company T-Shirt,3,2020-12-30 20:25:30,43.51,C2689,USA,130.53
